SMILES,dC/H (s),fC/H,1'dOI (s),3'dOI (s),1'fOI,3'fOI,1'Z3 (s),3'Z3 (s),1'Z1 (s),3'Z1 (s),RAS,WAA,dSGR (s) ,fSGR,dDIG (s) ,fDIG,REA,DIT (m)
C1=CC=C(C=C1)C=O,0.0,0,0.0,3.8,0,5,14.7,45.96,30.66,94.52,12,12,0.38,1,0.17,1,14,4.78164
C1=CC=C(C=C1)C=O,0.0,0,0.22,2.17,1,4,14.45,40.44,25.29,105.16,8,8,2.78,5,0.13,1,11,3.86996
C1=CC=C(C=C1)C=O,0.0,0,1.15,2.27,3,8,14.58,39.81,30.7,100.66,12,12,1.04,3,6.99,8,28,6.94998
C1=CC=C(C=C1)C=O,0.0,0,2.4,6.89,2,6,21.33,60.96,24.95,77.05,8,7,11.63,6,2.47,3,28,4.1551599999999995
C1=CC=C(C=C1)C=O,0.0,0,0.0,0.94,0,4,10.84,43.83,33.78,95.87,13,12,0.0,0,0.19,1,17,5.08333
C(CCN)CCN,0.0,0,3.46,4.62,6,9,16.96,56.77,32.58,79.84,4,2,3.18,12,0.0,0,25,4.15386
C(CCN)CCN,0.0,0,4.6,13.31,2,11,21.94,74.67,26.82,68.01,4,1,1.26,5,0.0,0,9,2.80124
C(CCN)CCN,0.0,0,3.86,11.68,5,10,23.85,70.44,29.27,73.33,4,3,1.0,3,6.33,7,17,5.1558
C(CCN)CCN,0.0,0,3.31,5.0,5,10,20.37,65.86,23.23,76.41,4,4,1.41,5,0.0,0,22,5.7989999999999995
C(CCN)CCN,0.0,0,1.78,5.83,4,11,18.35,51.91,22.74,76.28,7,6,1.28,5,0.0,0,7,3.45111
C(CCN)CCN,0.0,0,3.0,9.14,3,8,26.64,91.04,19.31,50.0,4,2,0.0,0,1.25,4,23,5.5143
C(CCN)CCN,7.6,2,5.31,12.93,4,12,34.37,96.37,13.5,48.81,7,6,1.79,3,0.95,3,11,3.6956800000000003
CCCCCCCC(=O)O,0.0,0,2.11,6.08,4,8,27.91,70.9,15.85,59.53,5,4,2.27,6,3.79,5,40,6.31343
CCCCCCCC(=O)O,0.91,1,2.0,9.61,3,10,23.65,69.57,23.42,66.87,9,8,19.5,6,0.0,0,26,5.19065
CCCCCCCC(=O)O,0.0,0,1.38,8.08,3,14,25.7,79.97,19.55,61.4,12,7,0.88,3,1.59,1,21,5.80202
CCCCCCCC(=O)O,1.62,2,6.5,14.15,7,14,24.71,69.99,23.78,84.85,7,7,0.0,0,0.68,3,16,4.8655800000000005
CCCCCCCC(=O)O,0.0,0,1.88,6.63,2,10,14.32,53.12,30.53,93.61,11,9,2.94,1,22.08,18,26,6.915439999999999
CCCCCCCC=O,0.0,0,3.15,18.8,3,17,13.66,52.43,36.31,92.69,6,5,2.59,5,1.42,5,9,3.36444
CCCCCCCC=O,0.22,1,1.79,10.36,3,8,24.14,50.76,23.09,93.45,4,3,0.8,3,4.36,8,23,5.596080000000001
CCCCCCCC=O,0.0,0,3.97,5.23,4,7,19.92,67.1,28.27,71.87,6,5,3.91,6,5.69,9,36,6.99586
CCCCCCCC=O,0.0,0,0.87,4.66,2,7,10.12,34.22,37.85,108.3,7,7,0.84,3,10.97,8,21,4.98579
CCCCCCCC=O,0.0,0,2.03,6.7,5,10,14.29,53.08,33.9,88.38,7,5,2.22,6,5.03,8,27,5.882709999999999
